,address1,address2,applcBeDt,applcEnDt,buldNm,elevatorNo,elvtrAsignNo,elvtrDetailForm,elvtrDiv,elvtrForm,elvtrKindNm,elvtrSttsNm,frstInstallationDe,inspctInsttNm,installationDe,installationPlace,liveLoad,mnfcturcpnynm,ratedCap,ratedSpeed,shuttleFloorCnt,sido,sigungu
65,서울특별시 강남구 언주로90길 12,(역삼동),20230525,20240524,반석빌딩,0078849,1,VVVF,엘리베이터,권상식,장애인용,운행중,20080227,서울강남지사,20080227,1-1,900,현대엘리베이터(주),13,1,9,서울,강남구
66,서울특별시 강남구 삼성로135길 42,(청담동),20231004,20241003,서울언북초등학교,0066909,2,VVVF,엘리베이터,권상식,장애/전망용,운행중,20071018,서울강남지사,20071018,복지센터-1,1150,현대엘리베이터(주),17,1,6,서울,강남구
67,서울특별시 강남구 봉은사로30길 75,(역삼동),20230910,20240909,성연빌딩,0066546,1,VVVF,엘리베이터,권상식,승객용,운행중,20040910,서울강남지사,20040910,1-1,550,티케이엘리베이터코리아(주),8,1,5,서울,강남구
68,서울특별시 강남구 개포로 508,(개포동),20240116,20250115,소망빌딩,0079130,1,VVVF,엘리베이터,권상식,승객용,운행중,19840906,서울강남지사,20041008,1-1,900,영성엘리베이터(주),13,1,7,서울,강남구
69,서울특별시 강남구 삼성로120길 52-5,(삼성동),20231129,20241128,현대삼성동1차아파트,0065497,1,VVVF,엘리베이터,권상식,장애인용,운행중,20050824,서울강남지사,20050824,1-1,1000,현대엘리베이터(주),15,1,8,서울,강남구
70,서울특별시 강남구 삼성로120길 52-5,(삼성동),20231129,20241128,현대삼성동1차아파트,0065498,2,VVVF,엘리베이터,권상식,장애인용,운행중,20050824,서울강남지사,20050824,1-2,1000,현대엘리베이터(주),15,1,8,서울,강남구
71,서울특별시 강남구 강남대로154길 12,(신사동),20240426,20250425,풍전빌딩,0010147,1,VVVF,엘리베이터,권상식,승객용,운행중,19970204,서울강남지사,20210426,1-1,550,현대엘리베이터(주),7,1,4,서울,강남구
72,서울특별시 강남구 도산대로23길 21,(신사동),20231027,20241026,진주빌딩,0010270,1,VVVF,엘리베이터,권상식,승객용,운행중,20050225,서울강남지사,20050225,1-1,550,오티스엘리베이터(유)창원공장,8,1,6,서울,강남구
73,서울특별시 강남구 도산대로67길 19,(청담동),20230313,20250312,온즈빌딩,0007849,2,교류,엘리베이터,유압식,자동차용,운행중,20080122,서울강남지사,20080122,1-2,2000,(주)세계산전,0.25,2,서울,강남구,
74,서울특별시 강남구 역삼로25길 37,(역삼동),20221128,20241127,근도빌딩,0075138,2,교류,엘리베이터,유압식,자동차용,운행중,20011030,서울강남지사,20011030,1-2,2500,(주)범용기계,0.33,2,서울,강남구,
75,서울특별시 강남구 영동대로71길 12,(대치동),20240321,20240920,대양빌딩,0009592,2,교류,엘리베이터,유압식,자동차용,운행중,19920601,서울강남지사,19920601,1-2,2000,한신엘리베이터(주),0.33,2,서울,강남구,
76,서울특별시 강남구 논현로 644,(논현동),20240604,20260603,지영빌딩,0066141,2,교류,엘리베이터,유압식,자동차용,운행중,19871109,서울강남지사,20001019,1-2,2500,엘지산전(주) 창원공장,0.5,6,서울,강남구,
77,서울특별시 강남구 삼성로135길 42,(청담동),20231004,20241003,서울언북초등학교,0066907,1,VVVF,엘리베이터,권상식,장애인용,운행중,20071004,서울강남지사,20071004,본관-1,1000,현대엘리베이터(주),15,1,4,서울,강남구
78,서울특별시 강남구 영동대로 101,(개포동),20240402,20250401,개원중학교,0010347,3,VVVF,엘리베이터,권상식,장애인용,운행중,20090224,서울강남지사,20090224,1-1,1000,오티스엘리베이터(유)창원공장,15,1,4,서울,강남구
