발생일자,건물명,승강기고유번호,주소,사고구분
2003-01-04,롯데쇼핑(주)구리점,3800036,경기도 구리시 경춘로 261 (인창동),중대사고
2003-01-12,서초웨딩홀(정곡빌딩),,서울특별시 서초구 법원로 10 (서초동),중대사고
2003-01-16,홈플러스(주)김포점,3801497,경기도 김포시 중봉로 14 (감정동),중대사고
2003-01-17,강촌라이프1차아파트,2113205,"경기도 고양시 일산동구 강석로 110 관리사무소  (마두동, 강촌마을5단지아파트)",중대사고
2003-01-27,브레스트제과점,,서울특별시 동작구 양녕로25길 2-11  (상도동),중대사고
2003-02-02,보배수산,,충청남도 보령시 머드로 55 (신흑동),중대사고
2003-02-21,모우빌딩,2144008,경기도 안양시 동안구 평촌대로223번길 44 (호계동),중대사고
2003-02-22,현대카멜리아 오뜨,8001675,부산광역시 해운대구 마린시티1로 167 (우동),중대사고
2003-03-04,스타웨딩홀,,전라남도 나주시 풍물시장2길 21 (이창동),중대사고
2003-03-07,성산임대아파트,0084170,서울특별시 마포구 월드컵로 207 (성산동),중대사고
2003-03-16,목동현대백화점,1808237,서울특별시 양천구 목동동로 257 (목동),중대사고
2003-03-22,은행대우1차아파트,2016437,경기도 시흥시 은행로 122 (은행동，대우1차아파트),중대사고
2003-03-27,성신빌딩,,서울특별시 동대문구 장한로 53  (장안동),중대사고
2003-04-01,중앙상가,8013920,경상남도 창원시 마산회원구 내서읍 상곡로 22 ,중대사고
2003-04-10,삼성주차장,5002397,대전광역시 동구 중교로 131 (원동),중대사고
2003-04-11,샘머리아파트2단지,5023121,대전광역시 서구 청사로 281 (둔산동),중대사고
2003-04-16,양산신도시벽산블루밍아파트 ,8043884,경상남도 양산시 양주로 39 (남부동，양산신도시8단지주공아파트),중대사고
2003-04-28,광남고등학교,1902088,서울특별시 광진구 아차산로70길 17-16 (광장동),중대사고
2003-05-01,베스트스토아,,서울특별시 관악구 은천로 28 (봉천동),중대사고
2003-05-06,롯데백화점창원점,8804121,경상남도 창원시 성산구 중앙대로 124  (상남동),중대사고
2003-05-28,구미조합상가(신청서분리발송),2051940,경기도 성남시 분당구 느티로 65 (정자동),중대사고
2003-06-10,가즈아모텔,2011947,경기도 용인시 기흥구 신정로237번길 9 (신갈동),중대사고
2003-06-19,KORAIL 오이도역,2054974,"경기도 시흥시 역전로 430 , 오이도역 (정왕동)",중대사고
2003-07-06,둔촌주공아파트,0099914,"서울특별시 강동구 양재대로 1340 , 둔촌주공아파트 관리사무소 (둔촌동)",중대사고
2003-07-16,청림빌딩,0026331,서울특별시 강서구 공항대로45길 44  (등촌동),중대사고
2003-07-23,남철미술관,,대전광역시 서구 갈마로 173-1 (괴정동),중대사고
2003-07-28,그랜드백화점일산점,3805046,경기도 고양시 일산서구 중앙로 1436 (주엽동),중대사고
2003-07-29,대흥동현대1차아파트,,대전광역시 중구 대흥로 176-15 (대흥동),중대사고
2003-09-04,교보생명(주)동성로대구지점,6802436,대구광역시 중구 국채보상로 586 (동성로2가),중대사고
2003-09-07,춘천성심병원,,강원도 춘천시 삭주로 77 (교동),중대사고
2003-09-08,NC웨이브 전주점,7802068,전라북도 전주시 완산구 전주객사5길 35 (고사동),중대사고
2003-09-21,유유씨티개발(주),0054897,서울특별시 강북구 삼양로 184 (미아동),중대사고
2003-09-23,문현여자고등학교,,부산광역시 남구 고동골로 86-41 (문현동),중대사고
2003-10-03,케이스퀘어사당사옥,0032594,서울특별시 동작구 동작대로 59 (사당동),중대사고
2003-10-08,운암프라자 번영회,2055542,경기도 안산시 단원구 고잔1길 49 (고잔동),중대사고
2003-10-14,강북집단화사업협동조합,0028103,서울특별시 강북구 한천로109길 10 (번동),중대사고
2003-10-15,부평동아2단지아파트,2033421,"인천광역시 부평구 부흥로 246 (부평동, 동아2단지아파트)",중대사고
2003-11-18,목동하이페리온 아파텔,0059326,"서울특별시 양천구 목동동로 257  (목동, 현대하이페리온)",중대사고
2003-12-02,한국복합물류(주),2028023,경기도 군포시 번영로 82 (부곡동),중대사고
2003-12-08,시흥벽산1단지아파트,0047510,"서울특별시 금천구 금하로 793 (시흥동, 벽산1단지아파트)",중대사고
2004-01-31,동산상가,2119536,경기도 군포시 산본로323번길 15 (산본동),중대사고
2004-02-22,한국철도공사 분당선 복정역,1802364,서울특별시 송파구 송파대로 6 (장지동),중대사고
2004-03-20,웰플렉스(주),3900429,경기도 안산시 상록구 용신로 364 (본오동),중대사고
2004-03-20,(주)구공관리,0091230,서울특별시 금천구 가산디지털2로 62 (가산동),중대사고
2004-04-09,신영프라자 A동,2037112,경기도 부천시 조마루로291번길 26 (중동),중대사고
2004-04-14,서울교통공사3호선고속터미널역,,서울특별시 서초구 신반포로 지하188 (반포동),중대사고
2004-05-11,삼성에버랜드(주)동물원길,3800367,경기도 용인시 처인구 포곡읍 에버랜드로 199 ,중대사고
2004-05-18,롯데마트마산점,8801633,경상남도 창원시 마산합포구 신마산시장길 33 (창포동3가),중대사고
2004-05-20,삼산주공미래타운4단지아파트,2030101,인천광역시 부평구 영성중로 57 (삼산동),중대사고
2004-05-30,여주하나아파트,,경기도 여주시 강변로 12 (하동),중대사고
2004-06-08,숲속의산양,5900595,충청북도 청주시 상당구 1순환로1514번길 50 (용정동),중대사고
2004-06-18,삼산주공1단지아파트,,인천광역시 부평구 평천로 447 (삼산동),중대사고
2004-06-30,김포공항 국내선 여객터미널,1804235,서울특별시 강서구 하늘길 76 (과해동 274),중대사고
2004-07-12,가락극동APT,0035918,서울특별시 송파구 동남로18길 9 (가락동，극동아파트),중대사고
2004-08-08,NC백화점 광주점,7800074,광주광역시 북구 경열로 249 (신안동),중대사고
2004-08-17,한국철도공사 분당선 미금역,,경기도 성남시 분당구 성남대로 156 (금곡동),중대사고
2004-09-30,서울교통공사4호선서울역,,서울특별시 용산구 한강대로 지하392 (동자동),중대사고
2004-10-14,(주)냉장인터불고2공장,8047905,부산광역시 서구 원양로 125 (암남동),중대사고
2004-10-15,춘향테마파크,7800571,"전라북도 남원시 양림길 14-9 , 춘향테마파크  (어현동)",중대사고
2004-11-02,"산들마을1단지(길훈,신안,현대)",2001761,경기도 의정부시 용현로 143 (민락동),중대사고
2004-11-22,경기도교육연구원,2011897,경기도 수원시 장안구 수성로 421 (조원동),중대사고
2004-12-03,의정부역지하상가,,경기도 의정부시 시민로 100 (의정부동),중대사고
2004-12-09,청림갤러리빌딩,2109669,경기도 수원시 권선구 권선로 701 (권선동),중대사고
2004-12-19,태영금속(주),,인천광역시 서구 가정로16번길 4 (가좌동),중대사고
2004-12-30,금호프라자,0049939,서울특별시 노원구 상계로5길 32 (상계동),중대사고
2005-01-11,삼동흥산빌딩,0066644,서울특별시 강남구 삼성로96길 23 (삼성동),중대사고
2005-02-11,(주)이마트제주점,9800152,"제주특별자치도 제주시 탑동로 38 (삼도이동, (주)이마트제주점)",중대사고
2005-03-02,동성빌딩,0093337,서울특별시 중랑구 용마산로117길 35 (망우동),중대사고
2005-03-02,롯데역사(주),,서울특별시 영등포구 경인로 846 (영등포동),중대사고
2005-03-12,SG웨딩컨벤션,,경기도 평택시 경기대로1376번길 22 (서정동),중대사고
2005-03-31,하모니마트,,서울특별시 용산구 대사관로30길 28 (한남동),중대사고
2005-04-06,THE GRAND,,경기도 광명시 광명로 834 (광명동),중대사고
2005-04-10,서린빌딩,8011214,울산광역시 중구 중앙길 91 (성남동),중대사고
2005-04-13,한국철도공사 부산역,8800450,부산광역시 동구 중앙대로 206 (초량동),중대사고
2005-04-17,쥬디스태화본관,8021357,부산광역시 부산진구 중앙대로 694 (부전동),중대사고
2005-04-29,청우빌딩,2043368,경기도 광명시 충현로 4 (소하동),중대사고
2005-05-12,지혜빌딩,2107219,경기도 안산시 상록구 예술광장로 29 (월피동),중대사고
